price,year,mileage,engine_l,fuel,gearbox,city,views,car_age,price_per_km
2290000.0,2014.0,148000.0,2.0,petrol,automatic,Балхаш,0,11.0,15.472972972972974
2100000.0,2012.0,309300.0,1.6,petrol,manual,Атырау,0,13.0,6.789524733268671
3000000.0,1995.0,330000.0,2.6,petrol,manual,Жанаозен,0,30.0,9.090909090909092
3950000.0,2001.0,,2.5,petrol,automatic,Алматы,0,24.0,
7600000.0,2014.0,187000.0,2.4,petrol,automatic,Алматы,0,11.0,40.64171122994652
9300000.0,2020.0,98000.0,2.0,petrol,automatic,Астана,0,5.0,94.89795918367346
13500000.0,2010.0,270000.0,5.0,petrol,automatic,Алматы,0,15.0,50.0
8000000.0,2019.0,207000.0,1.6,petrol,automatic,Алматы,0,6.0,38.64734299516908
1500000.0,1997.0,390000.0,2.3,petrol,automatic,Жезказган,0,28.0,3.8461538461538463
1450000.0,1992.0,500000.0,2.0,petrol,manual,Астана,0,33.0,2.9
3800000.0,2009.0,293000.0,1.4,petrol,automatic,Шымкент,0,16.0,12.969283276450511
4600000.0,2020.0,49000.0,1.5,petrol,automatic,Астана,0,5.0,93.87755102040816
8000000.0,2008.0,,2.7,petrol,automatic,Кызылорда,0,17.0,
11000000.0,2014.0,134000.0,2.0,petrol,automatic,Астана,0,11.0,82.08955223880596
5900000.0,2000.0,360.0,2.5,petrol,manual,Павлодар,0,25.0,16388.88888888889
2000000.0,2006.0,260000.0,1.5,petrol,automatic,Актобе,0,19.0,7.6923076923076925
4500000.0,2006.0,128808.0,3.5,petrol,automatic,Актобе,0,19.0,34.9357182783678
2000000.0,2006.0,260000.0,1.5,petrol,automatic,Актобе,0,19.0,7.6923076923076925
4500000.0,2006.0,128808.0,3.5,petrol,automatic,Актобе,0,19.0,34.9357182783678
13000000.0,2019.0,134000.0,2.0,petrol,automatic,Шымкент,0,6.0,97.01492537313433
2700000.0,2003.0,600.0,2.4,petrol,manual,Шымкент,0,22.0,4500.0
5800000.0,2013.0,209040.0,2.5,petrol,automatic,Актобе,0,12.0,27.745885954841178
7700000.0,2011.0,111800.0,2.0,petrol,automatic,Атырау,0,14.0,68.87298747763865
3500000.0,2017.0,165000.0,1.6,petrol,manual,Алматы,0,8.0,21.21212121212121
5600000.0,2005.0,402000.0,2.4,petrol,automatic,Шымкент,0,20.0,13.930348258706468
1700000.0,2001.0,,2.1,diesel,automatic,Алматы,0,24.0,
29000000.0,2022.0,26000.0,2.0,petrol,automatic,Алматы,0,3.0,1115.3846153846155
14000000.0,2013.0,249000.0,5.3,gas,automatic,Актобе,0,12.0,56.22489959839358
8900000.0,2013.0,,3.0,petrol,automatic,Алматы,0,12.0,
5000000.0,2006.0,400000.0,5.5,petrol,automatic,Алматы,0,19.0,12.5
400000.0,2007.0,256000.0,1.5,petrol,manual,Аркалык,0,18.0,1.5625
18300000.0,2016.0,132000.0,3.0,petrol,automatic,Астана,0,9.0,138.63636363636363
800000.0,2004.0,256067.0,1.5,petrol,manual,Алматы,0,21.0,3.1241823429024436
4120000.0,2019.0,113800.0,1.6,petrol,manual,Астана,0,6.0,36.203866432337435
8800000.0,2021.0,19500.0,1.6,petrol,manual,Алматы,0,4.0,451.28205128205127
3900000.0,2020.0,111000.0,1.5,petrol,automatic,Алматы,0,5.0,35.13513513513514
12500000.0,2025.0,,1.5,petrol,automatic,Алматы,0,0.0,
4120000.0,2019.0,113800.0,1.6,petrol,manual,Астана,0,6.0,36.203866432337435
8800000.0,2021.0,19500.0,1.6,petrol,manual,Алматы,0,4.0,451.28205128205127
3900000.0,2020.0,111000.0,1.5,petrol,automatic,Алматы,0,5.0,35.13513513513514
12500000.0,2025.0,,1.5,petrol,automatic,Алматы,0,0.0,
9300000.0,2021.0,70000.0,1.6,petrol,automatic,Астана,0,4.0,132.85714285714286
4900000.0,2021.0,86653.0,1.5,petrol,automatic,Уральск,0,4.0,56.54737862509088
8900000.0,2024.0,47000.0,1.5,petrol,other,Алматы,0,1.0,189.36170212765958
22000000.0,2012.0,,4.6,petrol,automatic,Актау,0,13.0,
16000000.0,2024.0,23000.0,2.0,petrol,automatic,Астана,0,1.0,695.6521739130435
1600000.0,1994.0,,2.2,petrol,manual,Алматы,0,31.0,
53000000.0,2019.0,80000.0,3.0,petrol,other,Атырау,0,6.0,662.5
1900000.0,1997.0,255000.0,2.4,petrol,automatic,Усть-Каменогорск,0,28.0,7.450980392156863
2300000.0,2003.0,125142.0,2.4,petrol,manual,Астана,0,22.0,18.379121318182545
12000000.0,2023.0,18000.0,1.6,petrol,automatic,Караганда,0,2.0,666.6666666666666
27000000.0,2021.0,43000.0,2.5,petrol,automatic,Актау,0,4.0,627.9069767441861
13700000.0,2013.0,177000.0,3.5,petrol,automatic,Астана,0,12.0,77.40112994350282
5850000.0,2001.0,224000.0,3.0,petrol,automatic,Алматы,0,24.0,26.116071428571427
2800000.0,1995.0,357000.0,2.0,petrol,automatic,Алматы,0,30.0,7.8431372549019605
40500000.0,2023.0,20000.0,2.0,petrol,automatic,Алматы,0,2.0,2025.0
4900000.0,2019.0,86000.0,1.6,petrol,automatic,Павлодар,0,6.0,56.97674418604651
2800000.0,1995.0,357000.0,2.0,petrol,automatic,Алматы,0,30.0,7.8431372549019605
40500000.0,2023.0,20000.0,2.0,petrol,automatic,Алматы,0,2.0,2025.0
4900000.0,2019.0,86000.0,1.6,petrol,automatic,Павлодар,0,6.0,56.97674418604651
24500000.0,2022.0,270000.0,3.5,petrol,automatic,Шымкент,0,3.0,90.74074074074075
12400000.0,2015.0,200000.0,2.5,petrol,automatic,Астана,0,10.0,62.0
9000000.0,2013.0,292832.0,2.5,petrol,automatic,Павлодар,0,12.0,30.73434597311769
14500000.0,2002.0,,5.0,petrol,automatic,Алматы,0,23.0,
8100000.0,2025.0,1.0,1.5,other,cvt,Алматы,0,0.0,8100000.0
2500000.0,1998.0,540000.0,2.4,petrol,automatic,Алматы,0,27.0,4.62962962962963
53000000.0,2022.0,34000.0,3.5,petrol,automatic,Алматы,0,3.0,1558.8235294117646
11750000.0,2025.0,28.0,1.5,petrol,other,Астана,0,0.0,419642.85714285716
14000000.0,2018.0,95000.0,2.5,petrol,automatic,Алматы,0,7.0,147.3684210526316
15999999.0,2024.0,,2.0,petrol,automatic,Алматы,0,1.0,
7000000.0,2021.0,78200.0,2.0,petrol,automatic,Уральск,0,4.0,89.51406649616368
13500000.0,2013.0,,3.5,petrol,automatic,Астана,0,12.0,
3200000.0,2006.0,,2.9,petrol,manual,Шымкент,0,19.0,
9000000.0,2007.0,190000.0,3.5,petrol,automatic,Алматы,0,18.0,47.36842105263158
3800000.0,1996.0,250250.0,2.5,petrol,manual,Шымкент,0,29.0,15.184815184815184
5000000.0,2013.0,372835.0,2.5,petrol,cvt,Актау,0,12.0,13.410758110155967
9800000.0,2016.0,92148.0,3.0,gas,automatic,Алматы,0,9.0,106.35065329687025
5000000.0,2013.0,372835.0,2.5,petrol,cvt,Актау,0,12.0,13.410758110155967
9800000.0,2016.0,92148.0,3.0,gas,automatic,Алматы,0,9.0,106.35065329687025
1800000.0,1991.0,3333.0,2.0,petrol,manual,Шу,0,34.0,540.0540054005401
5800000.0,2017.0,133000.0,2.0,petrol,manual,Актобе,0,8.0,43.609022556390975
4200000.0,2007.0,258000.0,1.6,petrol,other,Шымкент,0,18.0,16.27906976744186
12500000.0,2021.0,87900.0,2.5,petrol,automatic,Караганда,0,4.0,142.2070534698521
15200000.0,2026.0,,1.5,other,automatic,Астана,0,-1.0,
7700000.0,2021.0,107000.0,1.6,petrol,automatic,Алматы,0,4.0,71.96261682242991
5900000.0,2012.0,150000.0,4.0,petrol,automatic,Актау,0,13.0,39.333333333333336
165000000.0,2024.0,,4.4,petrol,automatic,Алматы,0,1.0,
5800000.0,2022.0,98000.0,1.5,petrol,automatic,Астана,0,3.0,59.183673469387756
3700000.0,2022.0,122000.0,0.8,petrol,manual,Алматы,0,3.0,30.327868852459016
6500000.0,2025.0,,1.2,petrol,automatic,Алматы,0,0.0,
6200000.0,2013.0,263000.0,2.9,petrol,manual,Алматы,0,12.0,23.574144486692017
7500000.0,2013.0,200000.0,2.5,petrol,automatic,Атырау,0,12.0,37.5
31500000.0,2024.0,12000.0,2.0,petrol,automatic,Шымкент,0,1.0,2625.0
9000000.0,2000.0,,5.0,petrol,automatic,Алматы,0,25.0,
700000.0,1996.0,,1.5,petrol,automatic,Караганда,0,29.0,
800000.0,1992.0,333333.0,2.3,petrol,manual,Павлодар,0,33.0,2.4000024000024
400000.0,1993.0,292700.0,1.4,petrol,manual,Щучинск,0,32.0,1.366586949094636
800000.0,1992.0,333333.0,2.3,petrol,manual,Павлодар,0,33.0,2.4000024000024
400000.0,1993.0,292700.0,1.4,petrol,manual,Щучинск,0,32.0,1.366586949094636
20000000.0,2025.0,3058.0,2.0,petrol,automatic,Кызылорда,0,0.0,6540.222367560497
1100000.0,2013.0,240000.0,1.5,petrol,manual,Сатпаев,0,12.0,4.583333333333333
9500000.0,2016.0,249395.0,2.5,petrol,automatic,Актобе,0,9.0,38.09218308306101
18000000.0,2025.0,3400.0,2.5,petrol,automatic,Алматы,0,0.0,5294.117647058823
22000000.0,2008.0,340000.0,5.7,petrol,automatic,Алматы,0,17.0,64.70588235294117
5400000.0,2008.0,267000.0,3.0,petrol,automatic,Караганда,0,17.0,20.224719101123597
13600000.0,2025.0,5600.0,,other,automatic,Алматы,0,0.0,2428.5714285714284
23450000.0,2025.0,8000.0,2.5,petrol,automatic,Усть-Каменогорск,0,0.0,2931.25
3650000.0,2003.0,425000.0,3.0,petrol,automatic,Костанай,0,22.0,8.588235294117647
16300000.0,2019.0,86000.0,2.0,petrol,automatic,Шымкент,0,6.0,189.53488372093022
2500000.0,2014.0,22222.0,1.6,petrol,manual,Шымкент,0,11.0,112.50112501125011
30000000.0,2019.0,70000.0,3.4,petrol,automatic,Шымкент,0,6.0,428.57142857142856
10300000.0,2024.0,64000.0,1.6,petrol,automatic,Алматы,0,1.0,160.9375
14650000.0,2022.0,39000.0,2.5,petrol,automatic,Астана,0,3.0,375.64102564102564
6950000.0,2025.0,,1.5,petrol,automatic,Шымкент,0,0.0,
6666666.0,2011.0,260000.0,2.0,diesel,manual,Алматы,0,14.0,25.641023076923076
12500000.0,2024.0,28500.0,1.6,petrol,automatic,Тараз,0,1.0,438.5964912280702
6800000.0,2022.0,141600.0,1.6,petrol,manual,Астана,0,3.0,48.0225988700565
6800000.0,2022.0,141600.0,1.6,petrol,manual,Астана,0,3.0,48.0225988700565
13800000.0,2024.0,45000.0,2.5,petrol,automatic,Кызылорда,0,1.0,306.6666666666667
4300000.0,2015.0,222904.0,1.6,petrol,automatic,Астана,0,10.0,19.290815777195565
24000000.0,2025.0,50.0,1.5,other,automatic,Астана,0,0.0,480000.0
8888888.0,2025.0,,1.7,other,cvt,Актобе,0,0.0,
6000000.0,1998.0,,3.2,petrol,automatic,Алматы,0,27.0,
2300000.0,1997.0,680.0,2.2,petrol,automatic,Алматы,0,28.0,3382.3529411764707
12500000.0,2004.0,160000.0,6.0,petrol,automatic,Жезказган,0,21.0,78.125
20400000.0,2017.0,53382.0,3.0,petrol,automatic,Алматы,0,8.0,382.15128695065755
12000000.0,2011.0,237000.0,3.5,petrol,automatic,Астана,0,14.0,50.63291139240506
4500000.0,2003.0,300000.0,3.2,petrol,automatic,Туркестан,0,22.0,15.0
4000000.0,2024.0,32000.0,1.5,petrol,other,Астана,0,1.0,125.0
1500000.0,1991.0,,1.8,petrol,manual,Сарыагаш,0,34.0,
30000000.0,2022.0,65000.0,5.7,petrol,automatic,Астана,0,3.0,461.53846153846155
